mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,0.210284,0.000182,0.000003,0.001691,0.270717,0.000774,0.483909
2,1,0.106575,0.001705,0.000793,0.001702,0.138538,0.000774,0.250351
1,4,0.209507,0.000192,0.000005,0.001694,0.268453,0.000772,0.480872
2,2,0.110886,0.002156,0.000789,0.001804,0.142990,0.000816,0.259703
4,1,0.053918,0.026697,0.000716,0.001735,0.067969,0.000799,0.152171
1,8,0.209382,0.000190,0.000002,0.001767,0.269231,0.000778,0.481604
2,4,0.104697,0.002706,0.000750,0.001703,0.134746,0.000771,0.245655
4,2,0.052822,0.018377,0.000712,0.001693,0.068164,0.000780,0.142812
8,1,0.030512,0.021102,0.000755,0.001947,0.038007,0.000871,0.093454
1,16,0.207050,0.000185,0.000001,0.001698,0.269330,0.000775,0.479285
2,8,0.109719,0.004066,0.000765,0.001769,0.139320,0.000802,0.256755
4,4,0.052785,0.015736,0.000716,0.001691,0.068941,0.000766,0.140820
8,2,0.030280,0.020243,0.000782,0.001890,0.037499,0.000843,0.091862
16,1,0.017130,0.019564,0.000870,0.002063,0.020365,0.000930,0.061808
1,32,0.212895,0.000182,0.000000,0.001705,0.269476,0.000784,0.485292
2,16,0.109531,0.001906,0.000756,0.001712,0.133947,0.000765,0.248939
4,8,0.055566,0.012752,0.000734,0.001784,0.072000,0.000827,0.143885
8,4,0.029920,0.020441,0.000746,0.001934,0.037011,0.000847,0.091275
16,2,0.017029,0.019829,0.000863,0.002108,0.020733,0.001112,0.062209
32,1,0.009056,0.108461,0.011866,0.002060,0.010018,0.000935,0.151047
1,64,0.209712,0.000177,0.000005,0.001694,0.272536,0.000771,0.485144
2,32,0.104802,0.004088,0.000757,0.001703,0.135591,0.000772,0.248020
4,16,0.053618,0.013673,0.000739,0.001696,0.069699,0.000812,0.140423
8,8,0.030372,0.022811,0.000826,0.001991,0.037389,0.000893,0.094594
16,4,0.017186,0.019333,0.000859,0.002062,0.020219,0.000937,0.061171
32,2,0.009140,0.128363,0.024293,0.002062,0.010123,0.000937,0.175529
64,1,0.005094,0.227243,0.017169,0.002069,0.004998,0.000930,0.279151
