mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,1.155913,0.000324,0.000006,0.001716,1.489136,0.000781,2.648204
2,1,0.588939,0.001663,0.000798,0.001705,0.750337,0.000782,1.345245
1,4,1.152386,0.000329,0.000006,0.001713,1.522822,0.000778,2.678366
2,2,0.578481,0.011698,0.000787,0.001700,0.746941,0.000775,1.341387
4,1,0.290839,0.016814,0.000768,0.001722,0.374884,0.000778,0.686416
1,8,1.148977,0.000327,0.000010,0.001709,1.501287,0.000781,2.653419
2,4,0.580965,0.001962,0.000793,0.001726,0.749334,0.000783,1.335860
4,2,0.290419,0.019625,0.000752,0.001701,0.372897,0.000776,0.687247
8,1,0.159586,0.024475,0.000799,0.001892,0.207862,0.000849,0.396579
1,16,1.159868,0.000323,0.000010,0.001699,1.486660,0.000778,2.649662
2,8,0.589325,0.003714,0.000782,0.001706,0.756439,0.000787,1.353341
4,4,0.292458,0.009000,0.000735,0.001701,0.388118,0.000774,0.693091
8,2,0.161277,0.026993,0.000949,0.001933,0.207493,0.000851,0.400315
16,1,0.089230,0.023124,0.000844,0.002073,0.112999,0.001055,0.230431
1,32,1.153727,0.000247,0.000006,0.001703,1.493200,0.000791,2.649974
2,16,0.582850,0.017549,0.000776,0.001702,0.745111,0.000780,1.349992
4,8,0.292058,0.017675,0.000745,0.001706,0.376815,0.000774,0.690217
8,4,0.164633,0.023969,0.000818,0.001944,0.211176,0.000880,0.404197
16,2,0.089969,0.024441,0.000848,0.002083,0.112936,0.000950,0.231948
32,1,0.045752,0.168463,0.012341,0.002071,0.056092,0.000939,0.299943
1,64,1.148948,0.000327,0.000006,0.001701,1.490234,0.000780,2.642323
2,32,0.583773,0.003938,0.000776,0.001704,0.750002,0.000783,1.341937
4,16,0.315903,0.009853,0.000766,0.001808,0.400516,0.000822,0.730323
8,8,0.353920,0.007660,0.000808,0.001935,0.404313,0.000885,0.769862
16,4,0.180121,0.009470,0.000873,0.002076,0.233266,0.000934,0.427196
32,2,0.097051,0.199271,0.045202,0.002082,0.055877,0.000940,0.426089
64,1,0.024012,0.294614,0.054427,0.002148,0.029122,0.000935,0.429933
