mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,2.047539,0.001186,0.000008,0.006754,2.675958,0.003053,4.735685
2,1,1.002975,0.017432,0.001928,0.018795,1.371758,0.003060,2.429104
1,4,2.036033,0.001192,0.000007,0.006699,2.660326,0.003056,4.734506
2,2,0.791587,0.006328,0.001903,0.006878,0.986208,0.003070,1.797347
4,1,0.544703,0.142665,0.006890,0.030863,0.659667,0.003057,1.388985
1,8,2.112150,0.001316,0.000007,0.023842,2.725411,0.003139,4.867058
2,4,1.080648,0.109380,0.001924,0.020817,1.333702,0.003041,2.551693
4,2,0.494606,0.701085,0.017996,0.042889,0.648125,0.003040,1.925993
8,1,0.291271,0.607755,0.049358,0.033691,0.389230,0.003433,1.377036
1,16,1.576329,0.001260,0.000010,0.007115,2.198283,0.003560,3.787773
2,8,1.051294,0.128437,0.001914,0.007493,1.268089,0.013571,2.496877
4,4,0.624880,0.709967,0.005324,0.008162,0.742193,0.003702,2.113076
8,2,0.231302,0.059162,0.002684,0.007675,0.337315,0.003417,0.643491
16,1,0.172000,0.052914,0.004981,0.082881,0.149921,0.003824,0.482099
1,32,2.096121,0.001325,0.000008,0.006684,2.617923,0.013054,4.736299
2,16,1.018619,0.004950,0.001888,0.006806,1.376993,0.003078,2.413502
4,8,0.505050,0.069224,0.002198,0.006748,0.672763,0.003073,1.260186
8,4,0.262271,0.062054,0.002726,0.036322,0.384377,0.003492,0.764952
16,2,0.090022,0.085347,0.004816,0.008538,0.111940,0.003743,0.309626
32,1,0.068296,0.560689,0.088463,0.008393,0.093961,0.003705,0.832168
1,64,2.093992,0.001217,0.000010,0.006942,2.805607,0.003179,4.912130
2,32,0.696171,0.052469,0.001865,0.006915,0.818202,0.003201,1.579974
4,16,0.567494,0.473706,0.002390,0.018770,0.666184,0.003041,1.732862
8,8,0.287878,0.885759,0.018223,0.007408,0.393111,0.003384,1.613782
16,4,0.200325,1.988490,0.082501,0.008298,0.175176,0.003706,2.463242
32,2,0.049006,0.575515,0.133136,0.008464,0.049059,0.003733,0.835750
64,1,0.030933,0.762072,0.074225,0.012064,0.036586,0.004335,0.942715
