mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,5.685431,0.001187,0.000019,0.006699,7.351979,0.003055,13.049668
2,1,2.854430,0.004955,0.001832,0.006820,3.695132,0.003044,6.567428
1,4,5.688235,0.001188,0.000015,0.006689,7.364091,0.003056,13.064607
2,2,2.854217,0.006033,0.001831,0.006690,3.692260,0.003049,6.565467
4,1,1.418397,0.038276,0.002162,0.006871,1.843193,0.003071,3.313476
1,8,5.691978,0.001177,0.000017,0.006696,7.349262,0.003052,13.053477
2,4,2.852318,0.012898,0.001869,0.006698,3.688273,0.003063,6.566631
4,2,1.420234,0.031597,0.002132,0.006889,1.844244,0.003073,3.309668
8,1,1.480545,0.057675,0.002865,0.024522,1.996213,0.003428,3.579307
1,16,11.039253,0.014352,0.000012,0.006906,14.566190,0.003071,25.631258
2,8,5.760032,0.017805,0.001972,0.006747,7.604948,0.003098,13.396123
4,4,2.592294,0.081581,0.002300,0.006820,3.331847,0.003218,6.032865
8,2,1.558012,0.241953,0.003025,0.007457,2.089652,0.003364,3.905785
16,1,0.847235,1.006356,0.013830,0.008388,1.112949,0.017322,3.024744
1,32,10.906545,0.001333,0.000015,0.006732,14.322924,0.003070,25.242106
2,16,5.612241,0.139102,0.001926,0.006824,6.988593,0.003064,12.753322
4,8,2.910573,0.608494,0.016218,0.009046,3.647365,0.003324,7.197040
8,4,1.546554,0.073105,0.002836,0.007406,2.064603,0.003453,3.700160
16,2,0.775934,0.137950,0.016444,0.008344,1.109071,0.016543,2.068125
32,1,0.326673,0.599390,0.070455,0.026472,0.434095,0.003722,1.476134
1,64,10.516898,0.001464,0.000014,0.006991,13.409637,0.003331,23.939769
2,32,5.303258,0.004733,0.001964,0.030820,7.178588,0.015172,12.536166
4,16,2.564682,0.021425,0.002254,0.007004,3.406403,0.003150,6.022318
8,8,1.590841,0.174301,0.002935,0.009409,2.080251,0.015415,3.876434
16,4,0.726151,0.665447,0.015153,0.008694,0.974310,0.003802,2.411725
32,2,0.285274,1.472935,0.150923,0.015131,0.402018,0.029100,2.359266
64,1,0.147041,0.414721,0.079978,0.009517,0.194948,0.003765,0.853520
