mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,4.277309,0.005222,0.000012,0.027419,5.443336,0.012265,9.768765
2,1,2.147226,0.017924,0.007681,0.026736,2.695438,0.012224,4.911083
1,4,4.236329,0.005122,0.000015,0.026546,5.359256,0.012064,9.642526
2,2,2.147236,0.017269,0.007511,0.026618,2.696591,0.012063,4.910999
4,1,1.033681,0.141843,0.010728,0.026969,1.345646,0.012080,2.574528
1,8,4.041006,0.004772,0.000007,0.026740,5.150328,0.013324,9.240401
2,4,2.149215,0.018991,0.008219,0.026635,2.699063,0.012066,4.918005
4,2,1.083689,0.107560,0.010333,0.027040,1.344609,0.012118,2.588909
8,1,0.631075,0.098829,0.015483,0.030150,0.848846,0.013409,1.645140
1,16,4.034612,0.004804,0.000008,0.026594,5.151462,0.012075,9.233835
2,8,2.054092,0.018225,0.007466,0.026553,2.588743,0.012169,4.712028
4,4,1.034432,0.192659,0.010760,0.026945,1.291627,0.012105,2.577507
8,2,0.671121,0.150418,0.031498,0.030503,1.005623,0.013803,1.911283
16,1,0.652566,0.307265,0.031163,0.035614,0.806955,0.015407,1.886230
1,32,6.466658,0.011077,0.000035,0.046089,7.732664,0.016676,14.282709
2,16,2.538778,0.824954,0.007978,0.030122,2.939520,0.012915,6.359030
4,8,1.626191,0.789083,0.011553,0.043485,2.018356,0.015918,4.509412
8,4,0.877957,5.320546,0.430197,0.039069,0.988766,0.014720,7.769126
16,2,0.635655,0.261417,0.030218,0.040417,0.833572,0.016189,1.844688
32,1,0.367692,1.344611,0.254023,0.034128,0.363968,0.015027,2.454900
1,64,4.039334,0.006334,0.000009,0.026549,5.347449,0.012072,9.434997
2,32,2.149699,0.016539,0.007433,0.026591,2.698126,0.012094,4.914149
4,16,1.086870,0.136460,0.010359,0.026698,1.346159,0.012105,2.622605
8,8,0.641091,0.128907,0.015172,0.030078,0.841614,0.013294,1.677755
16,4,0.670093,0.253780,0.029366,0.035334,0.803284,0.015060,1.835402
32,2,0.372503,1.768063,0.238562,0.034307,0.371774,0.017775,2.877598
64,1,0.220268,1.647231,0.373387,0.034186,0.195642,0.026371,2.559324
